Exhaust,Supply,Return,Outside
-21.6,13.2,23,-0.3
-22.5,12.8,23,-1.1
-22.2,12.4,22.8,-1.7
-22.6,12.3,22.7,-2
-23.1,12.1,22.7,-2.4
-22.6,12,22.8,-2.5
-23.5,12.1,22.6,-2.5
-24.1,11.8,22.6,-3.1
-23.4,11.6,22.5,-3.4
-24,11.5,22.4,-3.4
-23.8,11.3,22.3,-3.8
-24.1,11.2,22.3,-3.7
-24.6,11.2,22.2,-4
-23.9,11,22.2,-4.1
-24.7,11.1,22.2,-4.2
-24.6,10.9,22.1,-4.4
-24,10.8,22.1,-4.5
-24.9,10.9,22.1,-4.5
-24.6,10.8,22.2,-4.7
-24.1,10.8,22,-4.6
-25.2,10.7,21.9,-4.7
-24.4,10.6,21.9,-4.9
-24.5,10.6,21.9,-4.8
-25.2,10.5,21.9,-4.9
-24.3,10.5,21.9,-5
-24.6,10.6,21.9,-4.9
-25.1,10.4,21.8,-5.1
-24.1,10.4,21.9,-5
-25,10.4,21.7,-5
-24.8,10.3,21.8,-5.2
-24.2,10.4,21.8,-5
-25,10.4,21.8,-5
-24.6,10.3,21.8,-5.1
-24.4,10.3,22,-5
-25.2,10.4,21.8,-5
-24.3,10.2,21.9,-5.2
-24.6,10.3,21.9,-4.9
-14.6,10.6,22.2,-2.3
-10.5,11.5,22.5,0.7
-9.4,12.4,22.6,2.9
-8.7,13.3,22.7,4.5
-7.4,14.1,22.7,5.8
-7.2,14.9,22.9,7.2
-7,15.6,23,8.4
-5.3,16.1,22.9,9.5
-6.2,16.5,23,10.4
-5.2,16.9,23,11.1
-18.9,17.1,22.9,9.7
-22.2,15.2,22.7,3.9
-22.7,13.5,22.6,0.7
-24,12.8,22.6,-0.7
-23.9,12.3,22.6,-1.8
-23.8,12.1,22.5,-2.2
-24.7,11.9,22.5,-2.7
-24.2,11.6,22.3,-3
-24.1,11.5,22.3,-3.1
-24.9,11.4,22.2,-3.5
-24.2,11.3,22.3,-3.6
-24.4,11.2,22.1,-3.8
-24.9,11.1,22.1,-4
-24.1,10.9,22,-4.2
-24.7,11,22,-4.1
-24.7,10.9,22,-4.4
-24.2,10.9,22,-4.3
-25,10.9,22,-4.4
-24.5,10.8,22,-4.5
-24.3,10.7,21.9,-4.5
-25,10.8,22,-4.6
-24.3,10.7,22,-4.8
-24.7,10.7,21.8,-4.6
-24.8,10.5,21.9,-4.9
-24.2,10.5,21.8,-4.8
-25,10.5,21.9,-4.8
-24.4,10.5,21.9,-4.9
-24.6,10.5,22,-4.9
-25.2,10.5,21.8,-5
-24.4,10.4,21.7,-5.1
-24.9,10.4,21.8,-4.9
-24.7,10.4,21.9,-5.1
-24.3,10.4,21.9,-4.9
-25.2,10.4,21.9,-5
-24.6,10.3,22,-5
-12.9,10.9,22.1,-3.1
-12.6,11.2,22.5,0.3
-10.8,12.2,22.6,2.4
-9.6,13.1,22.6,4.3
-9.4,13.9,22.8,5.6
-8.5,14.6,22.8,6.8
-7.5,15.3,22.9,8
-7.4,15.8,22.9,9.1
-6.7,16.3,22.9,10.1
